都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,lat,lon,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
472093,0000000001,沖縄県,名護市,国立療養所沖縄愛楽園,コクリツリョウヨウジョオキナワアイラクエン,病院,名護市字済井出1192番地,,26.67622330,128.01896001,(0980)52-8331,,,,,,,,,,,内科;外科;整形外科;眼科;泌尿器科;皮膚科;耳鼻咽喉科;精神科;歯科,419,,
472093,0000000002,沖縄県,名護市,沖縄県立北部病院,オキナワケンリツホクブビョウイン,病院,名護市大中2丁目12番3号,,26.59177422,127.98656537,(0980)52-2719,,,,,,,,,,,"内科,呼吸器内科,消化器内科,循環器内科,神経内科,外科,呼吸器外科,消化器外科,脳神経外科,整形外科,形成外科,精神科,リウマチ科,小児科,皮膚科,泌尿器科,産科,婦人科,眼科,耳鼻咽喉科,リハリビテーション科,放射線科,病理診断科,麻酔科,腎臓内科,救急科,歯科口腔外科",327,,
472093,0000000003,沖縄県,名護市,社会福祉法人五和会　名護療育医療センター,シャカイフクシホウジンイカズエ　ナゴリョウイクイリョウセンター,病院,名護市字宇茂佐1765番地,,26.60778050,127.96436894,(0980)52-0957,,,,,,,,,,,内科;精神科;神経科;小児科;外科;整形外科;リハリビテーション科,80,,
472093,0000000004,沖縄県,名護市,医療法人タピック　宮里病院,イリョウホウジンタピック　ミヤザトビョウイン,病院,名護市字宇茂佐1763番地2,,26.60858045,127.96466890,(0980)53-7771,,,,,,,,,,,内科;精神科;神経内科;脳神経外科;リハビリテーション科;皮膚科;整形外科,239,,
473081,0000000005,沖縄県,本部町,もとぶ記念病院,モトブキネンビョウイン,病院,本部町字石川972番地,,26.69277993,127.88295380,(0980)51-7007,,,,,,,,,,,精神科;老年精神科;内科,170,,
473065,0000000006,沖縄県,今帰仁村,北山病院,キタヤマビョウイン,病院,今帰仁村字今泊307番地,,26.70327821,127.92964910,(0980)56-2339,,,,,,,,,,,内科;整形外科;リハリビテーション科;皮膚科,60,,
473081,0000000007,沖縄県,本部町,もとぶ野毛病院,モトブノゲビョウイン,病院,本部町字大浜880番地1,,26.65748969,127.88394291,(0980)47-3001,,,,,,,,,,,内科;脳神経外科;外科;小児科;リハリビテーション科;放射線科;整形外科,150,,
472093,0000000008,沖縄県,名護市,公益社団法人北部地区医師会　北部地区医師会病院　,コウエキシャダンホウジンホクブチクイシカイ　ホクブチクイシカイビョウイン　,病院,名護市字宇茂佐1712番3,,26.60776110,127.96567440,(0980)54-1111,,,,,,,,,,,内科;外科;整形外科;リハリビテーション科;放射線科;麻酔科;皮膚科;病理診断科;消化器外科;リウマチ科;心療内科;精神科;心臓血管外科;循環器内科;救急科;形成外科,236,,
472093,0000000009,沖縄県,名護市,医療法人琉心会　勝山病院,イリョウホウジンルゴコロカイ　カツヤマビョウイン,病院,名護市字屋部468番地1,,26.60667170,127.94590359,(0980)53-7777,,,,,,,,,,,内科;リハリビテーション科;整形外科;リウマチ科,154,,
472093,0000000010,沖縄県,名護市,辻眼科,ツジガンカ,無床診療所,名護市宮里1丁目26番11号,,26.59430666,127.97076058,(0980)52-6700,,,,,,,,,,,眼科,0,,
472093,0000000011,沖縄県,名護市,大北内科胃腸科クリニック,オオキタナイカイチョウカクリニック,有床診療所,名護市大北3丁目1番48号,,26.60134336,127.99589504,(0980)53-5455,,,,,,,,,,,内科;胃腸科;リハビリテーション科,0,,
473154,0000000012,沖縄県,伊江村,特別養護老人ホームいえしま医務室,トクベツヨウゴロウジンホームイエシマイムシツ,無床診療所,伊江村字東江前2303-1,,26.71092728,127.82517964,(0980)49-5502,,,,,,,,,,,内科;外科;精神科,0,,
473154,0000000013,沖縄県,伊江村,伊江村立診療所,イエソンタチシンリョウジョ,無床診療所,伊江村字東江前459番地,,26.71199072,127.80663652,(0980)49-2054,,,,,,,,,,,内科;外科;小児科;整形外科;人工透析内科,0,,
